main-captions	MSRvid	2012test	1	1	The practice is often to ask for a quorum and then leave the hemicycle.	The practice is often to ask for a quorum and then leave the hemicycle.
main-captions	MSRvid	2012test	4	0	The Council report released last October was a good start.	The Council's report that came out in October last year was a good first step.
main-captions	MSRvid	2012test	5	0	It is our responsibility to ensure that the terms of the agreement are respected and respected by all.	It is our responsibility to ensure that the terms of the agreement are respected and upheld by all.
main-captions	MSRvid	2012test	6	0	Secondly, it makes sense to have provisions for GM feed additives, similar to the provisions of seed marketing legislation, as the rapporteur has indicated.	Secondly, it makes sense to issue provisions for genetically-modified feedingstuff additives similar to the regulations in seed marketing legislation, as the rapporteur has said.
main-captions	MSRvid	2012test	9	1	The Portuguese Presidency will also attach importance to the deepening of the food security policy, this aspect having already been addressed this morning by the Portuguese Minister for Foreign Affairs and President of the Council of the European Union.	The Portuguese Presidency will also attach importance to the deepening of the food security policy, this aspect having already been discussed this morning by the Portuguese Minister for Foreign Affairs and President of the Council of the European Union.
main-captions	MSRvid	2012test	11	1	The initiative should also include future challenges for countries where the information society is more developed.	The initiative should also include future challenges for countries where the information society is more developed.
main-captions	MSRvid	2012test	12	0	What is the Council's opinion on the content of the Charter? What kind of rights will the Charter set out (economic, social and cultural)?	What are the Council's views on the substance of the Charter? What type of rights will the Charter set out (economic, social and cultural)?
main-captions	MSRvid	2012test	13	1	It is obvious that it is the industry that mainly determines the following reasons: reduction of production costs and conquest of markets.	It is obviously determined by the industry which reasons above all in terms of reducing production costs and winning markets.
main-captions	MSRvid	2012test	14	0	In the framework of the Community, we will contribute EUR 1 billion to the debt relief of the ACP countries.	Within the framework of the Community we will contribute EUR 1 bn for debt relief to ACP countries.
main-captions	MSRvid	2012test	16	0	The environment must be a priority area for the reunification of the European continent.	The environment must be a priority area within the reunification of the European continent.
main-captions	MSRvid	2012test	17	0	Firstly, the decentralized cooperation and the activities generated by the Barcelona Process between the most active social operators from Mediterranean countries that are not members of the Community and the European Union. These are projects that, in addition to their intrinsic value, create growth in the social sectors of these countries.	Firstly, decentralised cooperation and the activities generated by the Barcelona Process between the most active social operators from the non-Community Mediterranean countries and the European Union. These are projects, which, as well as having intrinsic value, create growth in the social sectors in these countries.
main-captions	MSRvid	2012test	18	0	With regard to the events of the last few days, I would like to say - and I say this day and week, that the Intergovernmental Conference is beginning - we need to give much more value and fundamental emphasis to the Charter on Rights which, given what we have said about the Austrian crisis, should, in my opinion, be fully integrated into the Treaties.	With regard to the events of recent days, I would like to say - and I am saying this on the day, and the week, that the Intergovernmental Conference is starting - we have to place far more value and fundamental emphasis upon the charter on fundamental rights which, given what we have said about the Austrian crisis, I believe should be fully included in the Treaties.
main-captions	MSRvid	2012test	19	1	This will allow the biotechnology industry and other stakeholders to have a clear idea of ​​the rules to be followed and thus to have a more transparent and predictable operational framework.	This will allow the biotechnology industry and other stakeholders to have a clear idea of ​​the rules to be followed and thus to have a more transparent and predictable operating framework.
main-captions	MSRvid	2012test	20	0	The Commission believes, however, that we need to go further.	However, the Commission believes that we must go further.
main-captions	MSRvid	2012test	21	1	In our report, we have also introduced an additional model to improve the transparency of this process. I ask you to approve the increase in reserves.	In our report, we have also introduced an additional model to enhance the transparency of this process. I ask you to approve the increase in reserves.
main-captions	MSRvid	2012test	22	1	In this regard, I would like, Mr Patten, to underline the admirable role played by the Ambassador Extraordinary of the region, Mr Moratinos, and the results achieved in terms of funding. You know that this Parliament will always support your action and your proposal.	In this regard, I would like, Mr Patten, to highlight the admirable role played by the Ambassador Extraordinary in the region, Mr Moratinos, and what we have accomplished in terms of funding. You know that this Parliament will always support your action and your proposal.
main-captions	MSRvid	2012test	25	0	This would be a useful exercise: there is clearly a problem of awareness of the rights of individuals.	This would be a valuable exercise: there is clearly a problem of awareness of people's rights.
main-captions	MSRvid	2012test	26	1	I wish to end with the following reflection.	I wish to end with the following reflection.
main-captions	MSRvid	2012test	28	0	Our experience shows that labels would gain credibility.	Our experience shows that the labels would, in that way, be given greater credibility.
main-captions	MSRvid	2012test	29	1	Last December 14th, in the sleeper cars of the Calais-Vintimiglia train, little Clement, 5, cries and asks her accompanying mother to visit her sick grandmother.	Last December 14th, in the sleeping cars of the Calais-Ventimiglia train, little Clement, 5, cries and asks his mother who accompanies him to visit the sick grandmother.
main-captions	MSRvid	2012test	30	1	Question No 12 by (H-0277/00):	Question No 12 by (H-0277/00):
main-captions	MSRvid	2012test	31	1	That's why many are tired of this theme.	That is why many are tired of this theme.
main-captions	MSRvid	2012test	32	1	I also heard the honorable member speak about the Caucasus in the past.	I have also heard the honorable Member speak about the Caucasus in the past.
main-captions	MSRvid	2012test	34	1	However, it is important to put this development in context and to keep in mind that the majority of people who populate our planet have never done and will probably never even make a phone call.	However, it is important to put this development in context and to remember that the majority of people who populate our planet have never done, and probably will never do, even a phone call.
main-captions	MSRvid	2012test	35	1	To take into account the eating habits of certain northern countries, derogations have been provided for.	To take into account the eating habits of some northern countries, some derogations had been planned.
